Point{id=id5118, cat=RESTAURANT, lat=-37.253896285, lon=144.035948784}
Point{id=id7744, cat=RESTAURANT, lat=-37.2696610347, lon=144.0565280631}
Point{id=id3488, cat=RESTAURANT, lat=-37.1997675557, lon=144.054910405}
Point{id=id8889, cat=RESTAURANT, lat=-37.2051337678, lon=144.0789226841}
Point{id=id6415, cat=RESTAURANT, lat=-37.2122120698, lon=143.9625567813}
Point{id=id1558, cat=RESTAURANT, lat=-37.2026289304, lon=143.9327979194}
Point{id=id7735, cat=RESTAURANT, lat=-37.2698583575, lon=143.9008951981}
Point{id=id6941, cat=RESTAURANT, lat=-37.3071354556, lon=144.152721166}
Point{id=id5669, cat=RESTAURANT, lat=-37.3080512968, lon=143.8968154743}
Point{id=id1043, cat=RESTAURANT, lat=-36.9951010986, lon=141.5604031028}
Point{id=id1404, cat=RESTAURANT, lat=-36.9871085484, lon=141.520357107}
Point{id=id6614, cat=RESTAURANT, lat=-36.932290575, lon=141.6714713309}
Point{id=id8258, cat=RESTAURANT, lat=-36.9430546576, lon=141.7176258485}
Point{id=id7193, cat=RESTAURANT, lat=-36.9557011377, lon=141.7432638537}
Point{id=id8050, cat=RESTAURANT, lat=-36.9990058754, lon=141.4343979966}
Point{id=id6965, cat=RESTAURANT, lat=-37.0193124085, lon=141.440386116}
Point{id=id2096, cat=RESTAURANT, lat=-37.0445868113, lon=141.7484532037}
Point{id=id3556, cat=RESTAURANT, lat=-37.1223193464, lon=141.566055916}
Point{id=id1286, cat=RESTAURANT, lat=-36.5526955608, lon=147.0582652869}
Point{id=id9450, cat=RESTAURANT, lat=-36.6355520184, lon=147.0585983389}
Point{id=id1413, cat=RESTAURANT, lat=-36.6393430934, lon=147.1506705708}
Point{id=id9223, cat=RESTAURANT, lat=-36.4940018691, lon=147.0387399476}
Point{id=id6869, cat=RESTAURANT, lat=-36.4801037564, lon=147.1583854247}
Point{id=id6417, cat=RESTAURANT, lat=-36.4822824147, lon=147.1681908696}
Point{id=id21, cat=RESTAURANT, lat=-36.6698553834, lon=147.056819993}
Point{id=id8731, cat=RESTAURANT, lat=-36.6283330264, lon=147.2220099628}
Point{id=id2712, cat=RESTAURANT, lat=-36.5025105106, lon=147.2069285996}
Point{id=id9186, cat=RESTAURANT, lat=-35.1596673473, lon=149.431272767}
Point{id=id6150, cat=RESTAURANT, lat=-35.183388406, lon=149.5036560259}
Point{id=id4001, cat=RESTAURANT, lat=-35.1467472983, lon=149.4144352718}
Point{id=id2105, cat=RESTAURANT, lat=-35.2395328627, lon=149.5136368093}
Point{id=id5733, cat=RESTAURANT, lat=-35.2362630427, lon=149.373855309}
Point{id=id9895, cat=RESTAURANT, lat=-35.2042799778, lon=149.356756456}
Point{id=id7121, cat=RESTAURANT, lat=-35.2000277716, lon=149.5450507127}
Point{id=id3693, cat=RESTAURANT, lat=-35.1323710265, lon=149.3940579963}
Point{id=id2182, cat=RESTAURANT, lat=-35.2183157934, lon=149.3257971623}
Point{id=id5892, cat=RESTAURANT, lat=-38.1109079368, lon=143.2721945282}
Point{id=id8868, cat=RESTAURANT, lat=-38.1099581847, lon=143.2808929996}
Point{id=id1335, cat=RESTAURANT, lat=-38.066129628, lon=143.2512059984}
Point{id=id8205, cat=RESTAURANT, lat=-38.1319809301, lon=143.289302311}
Point{id=id4923, cat=RESTAURANT, lat=-38.0690842921, lon=143.3122760846}
Point{id=id9728, cat=RESTAURANT, lat=-38.0719991252, lon=143.1326141095}
Point{id=id2694, cat=RESTAURANT, lat=-38.0298075579, lon=143.3284866845}
Point{id=id4644, cat=RESTAURANT, lat=-37.9923842621, lon=143.2161242463}
Point{id=id4271, cat=RESTAURANT, lat=-37.9887286039, lon=143.2512274298}
Point{id=id2860, cat=RESTAURANT, lat=-35.7450277555, lon=142.4089750451}
Point{id=id5931, cat=RESTAURANT, lat=-35.8120036856, lon=142.3975157278}
Point{id=id1465, cat=RESTAURANT, lat=-35.6899934806, lon=142.4782708267}
Point{id=id125, cat=RESTAURANT, lat=-35.7647752753, lon=142.4903526213}
Point{id=id3922, cat=RESTAURANT, lat=-35.7907538811, lon=142.2827583066}
Point{id=id8887, cat=RESTAURANT, lat=-35.7658897865, lon=142.2602884735}
Point{id=id1016, cat=RESTAURANT, lat=-35.775398642, lon=142.5086749738}
Point{id=id3189, cat=RESTAURANT, lat=-35.6463435612, lon=142.4761055307}
Point{id=id8196, cat=RESTAURANT, lat=-35.8526502542, lon=142.3633315107}
Point{id=id4489, cat=RESTAURANT, lat=-38.795689395, lon=144.1850577007}
Point{id=id524, cat=RESTAURANT, lat=-38.813567103, lon=144.2957040787}
Point{id=id2323, cat=RESTAURANT, lat=-38.7513763801, lon=144.2215670724}
Point{id=id5195, cat=RESTAURANT, lat=-38.6869675549, lon=144.2166753303}
Point{id=id8141, cat=RESTAURANT, lat=-38.7599609143, lon=144.3779793454}
Point{id=id5284, cat=RESTAURANT, lat=-38.7867800852, lon=144.3949892844}
Point{id=id9548, cat=RESTAURANT, lat=-38.7173966989, lon=144.12353766}
Point{id=id992, cat=RESTAURANT, lat=-38.8749832911, lon=144.3701235324}
Point{id=id5273, cat=RESTAURANT, lat=-38.9561918864, lon=144.2663104479}
Point{id=id516, cat=RESTAURANT, lat=-36.5492495031, lon=139.6625352983}
Point{id=id2984, cat=RESTAURANT, lat=-36.5149381271, lon=139.7070632669}
Point{id=id1363, cat=RESTAURANT, lat=-36.5741095381, lon=139.7519434146}
Point{id=id8007, cat=RESTAURANT, lat=-36.5893283736, lon=139.7749530411}
Point{id=id1202, cat=RESTAURANT, lat=-36.4798534258, lon=139.6667570381}
Point{id=id8865, cat=RESTAURANT, lat=-36.5644315611, lon=139.5963216532}
Point{id=id9416, cat=RESTAURANT, lat=-36.4746567497, lon=139.7120581141}
Point{id=id4300, cat=RESTAURANT, lat=-36.6387751574, lon=139.6575006818}
Point{id=id8571, cat=RESTAURANT, lat=-36.5493396202, lon=139.8062386943}
Point{id=id6587, cat=RESTAURANT, lat=-38.0310854848, lon=145.041254411}
Point{id=id2953, cat=RESTAURANT, lat=-38.0405916743, lon=145.0345132323}
Point{id=id5781, cat=RESTAURANT, lat=-38.0140673678, lon=145.0289054245}
Point{id=id9648, cat=RESTAURANT, lat=-37.9792711469, lon=145.0649789549}
Point{id=id213, cat=RESTAURANT, lat=-38.0362312437, lon=144.9832045191}
Point{id=id4406, cat=RESTAURANT, lat=-38.0490144529, lon=144.9643871951}
Point{id=id7220, cat=RESTAURANT, lat=-38.090203441, lon=145.1160170842}
Point{id=id5431, cat=RESTAURANT, lat=-38.0991609789, lon=145.1041310132}
Point{id=id9205, cat=RESTAURANT, lat=-37.9806191918, lon=144.9501612589}
Point{id=id280, cat=RESTAURANT, lat=-39.0386866057, lon=138.6315765515}
Point{id=id3264, cat=RESTAURANT, lat=-38.9914595299, lon=138.7007441398}
Point{id=id5563, cat=RESTAURANT, lat=-38.9293875185, lon=138.5211668185}
Point{id=id3151, cat=RESTAURANT, lat=-39.0863616363, lon=138.5878248249}
